,PRODUCT
O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,107
O=[N+](C(C=C1)=CC=C1OC2=CC=CC=C2)[O-],76
O=C(C)C1=CC=C(OC2=CC=CC=C2)C=C1,65
CC1=CC=C(C#CC2=CC=CC=C2)C=C1,63
C1(C#CC2=CC=CC=C2)=CC=CC=C1,59
CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,44
COC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,34
COC2=CC=C(C=C2)C#CC1=CC=CC=C1,28
COC(C=C1)=CC=C1SC2=CC=CC=C2,27
O=C(C)C1=CC=C(SC2=CC=CC=C2)C=C1,26
C1(OC2=CC=CC=C2)=CC=CC=C1,24
COC1=CC=C(C=C1)C2=CC=CC=C2,20
C1(C2=CC=CC=C2)=CC=CC=N1,19
COC(C=C1)=CC=C1OC2=CC=CC=C2,10
CC2=CC=C(C=C2)C#CC1=CC=C(OC)C=C1,7
C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,6
C1(C#CC2=CC=CC=C2)=CC=CN=C1,6
COC(C=C1)=CC=C1C2=CC=CC=C2,5
O=[N+](C(C=C1)=CC=C1C#CC2=CC=CC=C2)[O-],5
ClC(C=C1)=CC=C1OC2=CC=C([N+]([O-])=O)C=C2,5
CC1=CC=C(OC2=CC=CC=C2)C=C1,4
O=[N+](C1=CC=C(OC2=CC=C(C=CC=C3)C3=C2)C=C1)[O-],4
CC1=CC(C)=CC(C#CC2=CC=CC=C2)=C1,4
CC(C=C1)=CC=C1OC2=CC=C([N+]([O-])=O)C=C2,4
COC(C=C1)=CC=C1C#CC#CC2=CC=CC=N2,4
CC(C=C1)=CC=C1C#CC#CC2=CC=C(OC)C=C2,4
C1(C#CC#CC2=CC=CC=C2)=CC=CC=N1,4
CC1=CC=C(OC2=CC=CC=C2)C=C1OC,4
COC1=CC=C(C#CC2=CC=CC=C2)C=C1,4
CC(C1=CC=C(SCC2=CC=CC=C2)C=C1)=O,4
CC1=CC=C(C#CC2=CC=C(C=O)C=C2)C=C1,4
COC1=CC=CC=C1OC2=CC=CC=C2,4
ClC(C=C2)=CC=C2C#CC1=CC=C(OC)C=C1,4
N#CC1=CC=C(OC2=CC=C(OC)C=C2)C=C1,3
CC(C=C2)=CC=C2C#CC1=CC=C(C)C=C1,3
[C-]#[N+]C2=CC=C(C=C2)C#CC1=CC=CC=C1,3
O=C(C)C1=CC=C(OC2=CC=C(C)C=C2)C=C1,3
COC1=CC=C(C#CC2=CN=CC=C2)C=C1,3
COC1=C(SC2=CC=CC=C2)C=CC=C1,3
CC1=CC(OC2=CC=CC=C2)=CC=C1,3
FC(C1=C(C2=CC=CC=C2)N=CC=C1)(F)F,3
O=CC1=CC=C(SC2=CC=CC=C2)C=C1,3
N#CC1=CC=C(OC2=CC=CC=C2)C=C1,3
COC(C=C1)=CC=C1C2=CC=CC=N2,2
[C-]#[N+]C1=CC=C(SC2=CC=CC=C2)C=C1,2
CC(C1=CC=C(OC2=CC=CC=C2)C=C1)(C)C,2
CC1=CC=CC=C1OC2=CC=C(C#N)C=C2,2
ClC(C=C1)=CC=C1OC2=CC=C(C#N)C=C2,2
ClC1=CC=CC=C1OC2=CC=C(C#N)C=C2,2
O=C(C(C=C1)=CC=C1C2=CC=CC=C2)OC,2
CC(C=C1)=CC=C1SC2=CC=C([N+]#[C-])C=C2,2
N#CC(C=C1)=CC=C1C2=CC=CC=C2,2
CC1=C(OC2=CC=CC=C2)C=CC=C1,2
C1(C2=CC=CC=C2)=CC=CN=C1,2
CC1=CC=CC=C1OC2=CC=C(OC)C=C2,2
CC(C(C=C1)=CC=C1OC2=CC=C(OC)C=C2)(C)C,2
C12=CC=CC=C1N=C(C3=CC=CC=C3)C=C2,2
FC(C1=CC=CC(SC2=CC=CC=C2)=C1)(F)F,2
ClC(C=C1)=CC=C1OC2=CC=CC=C2,2
O=C(C(C=C1)=CC=C1OC2=CC=C(C=CC=C3)C3=C2)C,2
O=C(C)C1=CC=CC(OC2=CC=CC=C2)=C1,2
CC(C=C1)=CC=C1OC2=CC=C(C#N)C=C2,2
C1(C2=CC=CC=C2)=CC=C(C3=CC=CC=C3)C=C1,2
COC1=CC=C(C#CC2=CC=C(OC)C=C2)C=C1,2
N#CC1=CC=C(C#CC2=CC=CC=C2)C=C1,2
ClC(C=C2)=CC=C2C#CC1=CC=NC=C1,2
CC1=CC=C(C#CC2=CN=CC=C2)C=C1,2
O=[N+](C1=CC=C(OC2=CC=C(C#N)C=C2)C=C1)[O-],2
CC(C=C1)=CC=C1C#CC#CC2=CC=CC=N2,2
CC1=CC=C(C#CC#CC2=CC=C(C)C=C2)C=C1,2
CC1=CC=C(C#CC2=CC=C(F)C=C2)C=C1,2
CC1=CC=C(C#CC2=CC=C(Cl)C=C2)C=C1,2
CCCCCCC#CC#CC1=CC=CC=C1,2
FC1=CC=C(C#CC2=CC=CC=C2)C=C1,2
ClC(C=C2)=CC=C2C#CC1=CC=CC=C1,2
FC(F)(F)C1=CC=C(C#CC2=CC=CC=C2)C=C1,2
CC(C=C2)=CC=C2C#CC1=CC=C(C(C)=O)C=C1,2
O=C(OC)C1=CC=C(C#CC(CCCCC)=O)C=C1,2
CC1=C(OC2=CC=C(OC)C=C2)C=CC([N+]([O-])=O)=C1,2
O=[N+](C1=CC=C(OC2=CN=CC=C2)C=C1)[O-],2
ClC1=CC=CC=C1OC2=CC=C([N+]([O-])=O)C=C2,2
CC1=CC=CC=C1OC2=CC=C([N+]([O-])=O)C=C2,2
COC(C=C1)=CC=C1OC2=CC=C([N+]([O-])=O)C=C2,2
CC1=CC=C(C#CC2=CC=C(N)C=C2)C=C1,2
C1(C#CC2=NC=CC=C2)=CC=CC=C1,2
CC1=CC=C(C#CC2=C(C)C=CC=C2)C=C1,2
COC1=CC=CC=C1C#CC2=CC=CC=C2,2
NC2=CC=C(C=C2)C#CC1=CC=CC=C1,2
CC(C=C1)=CC=C1OC2=CC=C(C)C=C2C,1
COC(C=C1)=CC=C1OC2=CC=CC(C(O)=O)=C2,1
BrC1=CC=C(C#CC2=CC=CC=C2)C=C1,1
CC(C(C=C1)=CC=C1OC2=CC=C([N+]([O-])=O)C=C2)(C)C,1
ClC1=CC=C(C#CC2=CC=CC=C2)C=C1,1
COC(C=C1)=CC=C1OC2=CC(C=CC=C3)=C3C=C2,1
C12=CC=CC=C1C=C(C#CC3=CC=CC=C3)C=C2,1
ClC(C=C1)=CC=C1OC2=CC=CC(C)=C2,1
CC1=CC(C)=CC=C1OC2=CC=C(C#N)C=C2,1
CC1=CC(OC2=CC=C(C3=CC=CC=C3)C=C2)=CC=C1,1
CC1=CC(OC2=CC=C(NCC3=CC=CC=C3)C=C2)=CC=C1,1
C12=C(C=CC=C2)C=CC=C1C#CC3=CC=CC=C3,1
CC(C=C1)=CC=C1C#CC2=CC=CC3=C2C=CC=C3,1
FC(C1=CC=C(C#CC2=CC=CC=C2)C=C1)(F)F,1
CC(C=C1)=CC=C1C#CC2=CC=C(C(F)(F)F)C=C2,1
CC1=CC(OC2=CC=CC=C2)=CC(C)=C1,1
CC1=CC(OC2=CC=C(OC)C=C2)=CC=C1,1
CC1=CC(C#CC2=CC=C(C)C=C2)=CC(C)=C1,1
CC1=CC(C)=CC(OC2=CC=CC=C2OC)=C1,1
CC1=CC=CC=C1C#CC2=CC=C(C)C=C2,1
FC1=CC(OC2=CC=C(C(C)(C)C)C=C2)=CC=C1,1
CC(C(C=C1)=CC=C1OC2=CC=C(C=CC=C3)C3=C2)=O,1
CC(C=C1)=CC=C1C#CC2=CC(OC)=CC=C2,1
COC1=CC=CC(C#CC2=CC=CC=C2)=C1,1
CC1=CC=C(C#CCOC2OCCCC2)C=C1,1
CC(C=C1)=CC=C1C#CC2=CC=CC=C2OC,1
FC(C=C1)=CC=C1SC2=CC=C([N+]([O-])=O)C=C2,1
C1(C2=CC=CC=C2)=CC=CC=C1,1
[C-]#[N+]C1=CC=C(SCC2=CC=CC=C2)C=C1,1
CC1=CC=C(OC2=CC=C(C)C=C2)C=C1,1
CC1=CC=C(OC2=C(C)C=CC=C2)C=C1,1
CC1=C(OC2=CC=CC=C2C)C=CC=C1,1
CC1=CC=CC=C1OC2=CC=C(C)C=C2,1
[C-]#[N+]C1=CC=C(C#CC2=CC=CC=C2)C=C1,1
CC1=CC=CC(C#CC2=CC=CC=C2)=C1,1
CC1=C(C#CC2=CC=CC=C2)C(C)=CC=C1,1
C1(C#CC2=CC=CC=C2)=NC=CC=C1,1
C1(C#CC2=CC=CC=C2)=CSC=C1,1
CC1=C(C=CC=C1)C#CC2=CC=CC=C2,1
COC1=C(C=CC=C1)C#CC2=CC=CC=C2,1
CC(C1=CC=C(C#CC2=CC=CC=C2)C=C1)=O,1
CCCCCC(C#CC1=CC=C(C#N)C=C1)=O,1
CCCCCC(C#CC1=CC=C([N+]([O-])=O)C=C1)=O,1
O=C(OC)C1=CC=C(C#CC2=CC=CC=C2)C=C1,1
CCCCCC(C#CC1=CC=CC=C1)=O,1
CC1=CC=C(C#CC(CCCCC)=O)C=C1,1
CCCCSC1=CC=C(C(C)=O)C=C1,1
ClC1=CC=C(C#CC2=CC=C(F)C=C2)C=C1,1
CC1=CC=C(C2=CC=CC=C2)C=C1,1
CC(C=C1)=CC=C1SC2=CC=C([N+]([O-])=O)C=C2,1
CC1=CC(C2=CC=CC=C2)=CC=C1,1
CC(C)(C)C1=CC=C(C2=CC=CC=C2)C=C1,1
C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=C(C=C1)C4=CC=CC=C4,1
[C-]#[N+]C1=CC=C(C2=CC=CC=C2)C=C1,1
C1(C2=CC=CC=C2)=CC=C(OC3=CC=CC=C3)C=C1,1
C12=CC=CC=C1C=C(OC3=CC=CC=C3)C=C2,1
CC1=CC=C(OC2=CC=CC=C2)C=C1C,1
CC1=CC(C)=CC=C1OC2=CC=CC=C2,1
COC1=CC=CC(OC2=CC=CC=C2)=C1,1
FC1=CC=C(OC2=CC=CC=C2)C=C1,1
ClC1=CC=C(OC2=CC=CC=C2)C=C1,1
ClC1=CC=CC=C1OC2=CC=CC=C2,1
ClC1=CC(OC2=CC=CC=C2)=CC=C1,1
CC(C1=CC=C(SC2=CC=C(OC)C=C2)C=C1)=O,1
[N2O]C1=CC=C(SC2=CC=C(OC)C=C2)C=C1,1
[C-]#[N+]C1=CC=C(SC2=CC=C(OC)C=C2)C=C1,1
CC(C=C1)=CC=C1SC2=CC=C(C(C)=O)C=C2,1
CCCCCCC#CC1=CC=CC(Cl)=C1,1
O=C(C1=CC=C(SC2=CC=C(OC)C=C2)C=C1)C,1
CCCCCCC#CC1=CC=C(Cl)C=C1.C#CCCCCCC,1
C1(C2=CC=CO2)=CC=CC=N1,1
CC(C=C([N+]([O-])=O)C=C1)=C1OC2=CC=CC=C2,1
N#CC(C=C1)=CC=C1OC2=CC=C(C=CC=C3)C3=C2,1
N#CC1=CC=C(OC2=CN=CC=C2)C=C1,1
FC(C(C=C1)=CC=C1C2=CC=CC=N2)(F)F,1
N#CC(C=C1)=CC=C1C2=CC=CC=N2,1
CC(C=CC=C1)=C1C2=CC=CC=N2,1
C1(C2=CC=CC3=C2C=CC=C3)=CC=CC=N1,1
C1(C2=CC=CS2)=CC=CC=N1,1
BrC(C=CC=N1)=C1C2=CC=CC=C2,1
CC1=CC(OC2=CC=C([N+]([O-])=O)C=C2)=CC=C1,1
CC1=NC(C2=CC=CC=C2)=CC=C1,1
COC1=NC(C2=CC=CC=C2)=CC=C1,1
CC1=CC=NC(C2=CC=CC=C2)=C1,1
O=C(C(C=N1)=CC=C1C2=CC=CC=C2)OC,1
FC(C1=CC=NC(C2=CC=CC=C2)=C1)(F)F,1
CC1=NC(C2=CC=CC=C2)=NC=C1,1
C1(C2=CC=CC=C2)=CN=CC=N1,1
COC(N=C1)=CC=C1C2=CC=CC=C2,1
O=[N+](C(C=C1)=CC=C1OC2=CC=CC3=C2C=CC=C3)[O-],1
C1(OC2=CN=CC=C2)=CC=CC=C1,1
C#CC1=CC=CC=C1.ClC2=CC=C(C#CC3=CC=CC=C3)C=C2,1
C1(CC#CC#CC2=CC=CC=C2)CCCCC1,1
CC(C2=CC=C(C=C2)C#CC1=CC=C(OC)C=C1)=O,1
FC(C=C2)=CC=C2C#CC1=CC=CC=C1,1
O=CC(C=C2)=CC=C2C#CC1=CC=CC=C1,1
CC/C(C#CC1=CC=CC=C1)=C\CC,1
COC1=CC=C(C#CC2=CC=C(C=O)C=C2)C=C1,1
C1(C#CC2=CC=CC=C2)=CC=NC=C1,1
COC(C=C2)=CC=C2C#CC1=CC=NC=C1,1
CCCCC#CC1=CC=CC=C1,1
CC(C=C1)=CC=C1C#CC#CCOC,1
C1(OC2=CC=CC=C2)=CN=CC=C1,1
C1(C#CC#CC2=CC=CC=C2)=CC=CC=C1,1
COC1=CC=C(C#CC#CC2=CC=C(OC)C=C2)C=C1,1
FC(C1=CC(C#CC2=CC=CC=C2)=CC=C1)(F)F,1
FC(C=C2)=CC=C2C#CC1=CC=C(OC)C=C1,1
CC1=CC=C(C#CC(C(C)C)/C=C\CC)C=C1,1
O=[N+](C1=CC=C(OC2=CC=C([N+]([O-])=O)C=C2)C=C1)[O-],1
FC(C1=CC(OC2=CC=CC=C2)=CC=C1)(F)F,1
CC1=CC(OC2=CC=C(OC)C=C2)=CC(C)=C1,1
C1(C2=CC=CC=C2)=CN=CN=C1,1
C12=CC(C3=CC=CC=C3)=CC=C1N=CC=C2,1
C12=CC=CC(C3=CC=CC=C3)=C1N=CC=C2,1
C1(C2=CC=CS2)=CC=CC=C1C3=CC=CS3,1
FC(C1=CC(C(F)(F)F)=CC(C2=CC=C(OC)C=C2)=C1)(F)F,1
FC(F)(F)C1=CC(C2=CC=C(C=C2)OC)=CC=C1,1
CC1=CC=C(C2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1,1
ClC1=CC2=NC=CC(C3=CC=C(OC)C=C3)=C2C=C1,1
ClC1=NC=CC(C2=CC=C(OC)C=C2)=C1,1
COC1=CC=C(C2=NC=CN=C2)C=C1,1
BrC1=CC=CC=C1C2=CC=CS2,1
C1(C2=CC=CS2)=CC=C(C3=CC=CS3)C=C1,1
CC1=CC=C(C2=CC=C(C(F)(F)F)C=C2)C=C1,1
C1(C2=CC=CC=C2)=CC=CS1,1
FC(F)(F)C(C=C1)=CC=C1C(C=C2)=CC=C2OC,1
CCCCCCC#CC1=CC=CC=C1,1
CCCCCCC#CC1=CC=C(C)C=C1,1
FC(C=C1)=CC=C1C#CC2=CC=C(C)C=C2,1
CC(C)C1=CC=C(C#CC2=CC=CC=C2)C=C1,1
CC(C)C1=CC=C(C#CC2=CC=C(F)C=C2)C=C1,1
CC1=CC(C#CC2=CC=CC=C2)=CC=C1,1
C1(C#CC2=CC=CC=C2)=CC=C(C3=CC=CC=C3)C=C1,1
ClC(C=C1)=CC=C1C(C=C2)=CC=C2OC,1
CC1=CC=C(C2=CC=C(Br)C=C2)C=C1,1
ClC2=CC=C(C=C2)C1=CC=C(C=C1)OC,1
COC1=CC=C(SCC2=CC=CC=C2)C=C1,1
C1(C2=CC=CC=C2)=COC=C1,1
ClC(C=N1)=CC=C1C2=CC=CC=C2,1
BrC(C=N1)=CC=C1C2=CC=CC=C2,1
O=[N+](C1=CC=CC(C2=CC=CC=C2)=C1)[O-],1
O=C(C1=C(C2=CC=CC=C2)C=CC=C1)OC,1
N#CC(C=C1)=CC=C1C2=CC=C(C(F)(F)F)C=C2,1
C12=CC=CC=C1C=C(C3=CC=CC=C3)O2,1
C1(SC2=CC=CC=C2)=CN=CC=C1,1
CC(C=C1)=CC=C1SC2=CN=CC=C2,1
CC1=CC=C(SC2=CC=C(C#N)C=C2)C=C1,1
NC(C=C1)=CC=C1SC2=CC=C([N+]([O-])=O)C=C2,1
O=[N+](C1=CC=C(SCC2=CC=CC=C2)C=C1)[O-],1
FC(C1=CC=CC(SCC2=CC=CC=C2)=C1)(F)F,1
CCCCSC1=CC=C(OC)C=C1,1
CCCCSC1=CC=CC=C1,1
CCCCSC1=CC=C(C)C=C1,1
CCCCSC1=CC=C([N+]([O-])=O)C=C1,1
CCCCCC(C#CC1=CC=C(OC)C=C1)=O,1
