si no,Smiles
1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C
2,C12=CC=CC=C1C=C(C3=CC=CC=C3)O2
3,C1(C#CC2=CC=CC=C2)=CC=CC=C1
4,COC2=CC=C(C=C2)C#CC1=CC=CC=C1
5,CC2=CC=C(C=C2)C#CC1=CC=C(OC)C=C1
6,COC(C=C2)=CC=C2C#CC1=CC=CC=C1
7,CC(C=C2)=CC=C2C#CC1=CC=C(C)C=C1
8,CC(C=C2)=CC=C2C#CC1=CC=C(OC)C=C1
9,CC(C2=CC=C(C=C2)C#CC1=CC=C(OC)C=C1)=O
10,C1(C#CC2=CC=CC=C2)=CC=CN=C1
11,C1(C#CC2=CC=CN=C2)=CC=CC=C1
12,[C-]#[N+]C2=CC=C(C=C2)C#CC1=CC=CC=C1
13,NC2=CC=C(C=C2)C#CC1=CC=CC=C1
14,CC(C=C2)=CC=C2C#CC1=CC=C(C(C)=O)C=C1
15,ClC(C=C2)=CC=C2C#CC1=CC=CC=C1
16,FC(C=C2)=CC=C2C#CC1=CC=CC=C1
17,O=CC(C=C2)=CC=C2C#CC1=CC=CC=C1
18,O=C(C(C=C2)=CC=C2C#CC1=CC=CC=C1)C
19,C1(C#CC2=CC=CC=C2)=CN=CC=C1
20,CC/C(C#CC1=CC=CC=C1)=C\CC
21,CC1=CC=C(C#CC2=CC=CC=C2)C=C1
22,CC1=CC=C(C#CC2=CC=C(OC)C=C2)C=C1
23,CC1=CC=C(C#CC2=CC=C(C=O)C=C2)C=C1
24,CC1=CC=C(C#CC2=CC=C(Cl)C=C2)C=C1
25,CC1=CC=C(C#CC2=CC=C(F)C=C2)C=C1
26,CC1=CC=C(C#CC2=CN=CC=C2)C=C1
27,COC1=CC=C(C#CC2=CC=CC=C2)C=C1
28,ClC(C=C2)=CC=C2C#CC1=CC=C(OC)C=C1
29,COC1=CC=C(C#CC2=CC=C(OC)C=C2)C=C1
30,COC1=CC=C(C#CC2=CC=C(C=O)C=C2)C=C1
31,C1(C#CC2=CC=CC=C2)=CC=NC=C1
32,COC(C=C2)=CC=C2C#CC1=CC=NC=C1
33,ClC(C=C2)=CC=C2C#CC1=CC=NC=C1
34,CCCCC#CC1=CC=CC=C1
35,COC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1
36,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1
37,C1(C#CC#CC2=CC=CC=C2)=CC=CC=N1
38,C1(CC#CC#CC2=CC=CC=C2)CCCCC1
39,CC(C=C1)=CC=C1C#CC#CCOC
40,CC(C=C1)=CC=C1C#CC#CC2=CC=C(OC)C=C2
41,CC(C=C1)=CC=C1C#CC#CC2=CC=CC=N2
42,COC(C=C1)=CC=C1C#CC#CC2=CC=CC=N2
43,CC1=CC=C(C#CC#CC2=CC=C(C)C=C2)C=C1
44,CC(C=C1)=CC=C1C#CC#CC2=NC=CC=C2
45,COC(C=C1)=CC=C1C#CC#CC2=NC=CC=C2
46,COC(C=C1)=CC=C1C#CC#CC2=CC=CC=C2
47,CC(C=C1)=CC=C1C#CC#CC2=CC=CC=C2
48,C1(C#CC#CC2=CC=CC=C2)=NC=CC=C1
49,C1(C#CC#CC2=CC=CC=C2)=CC=CC=C1
50,COC1=CC=C(C#CC#CC2=CC=C(C)C=C2)C=C1
51,COC1=CC=C(C#CC#CC2=CC=C(OC)C=C2)C=C1
52,CC1=CC=C(C#CC#CC2=CC=C(OC)C=C2)C=C1
53,CCCCCCC#CC#CC1=CC=CC=C1
54,C1(C#CC#CC2=NC=CC=C2)=CC=CC=C1
55,BrC#CC1=CC=CC=N1.C2(C#CC#CC3=CC=CC=C3)=CC=CC=N2
56,CC(C(C=C1)=CC=C1C#CC2=CC=CC=C2)=O
57,O=[N+](C(C=C1)=CC=C1C#CC2=CC=CC=C2)[O-]
58,NC(C=C1)=CC=C1C#CC2=CC=CC=C2
59,COC(C=C1)=CC=C1C#CC2=CC=CC=C2
60,CC(C=C1)=CC=C1C#CC2=CC=CC=C2
61,CC1=CC(C)=CC(C#CC2=CC=CC=C2)=C1
62,FC(C1=CC(C#CC2=CC=CC=C2)=CC=C1)(F)F
63,IC1=CC=CN=C1.C2(C#CC3=CC=CN=C3)=CC=CC=C2
64,CC(C=C1)=CC=C1C#CC2=CC=C(OC)C=C2
65,CC1=CC=C(C#CC2=CC=C(N)C=C2)C=C1
66,CC1=CC=C(C#CC2=CC=C(C(C)=O)C=C2)C=C1
67,FC(C=C2)=CC=C2C#CC1=CC=C(OC)C=C1
68,CC1=CC=C(C#CC2=C(C)C=CC=C2)C=C1
69,ClC1=CC=CC(C#CC2=CC=CC=C2)=C1
70,CC1=CC=C(C#CC(C(C)C)/C=C\CC)C=C1
71,O=[N+](C(C=C1)=CC=C1OC2=CC=CC=C2)[O-]
72,COC(C=C1)=CC=C1OC2=CC=C([N+]([O-])=O)C=C2
73,CC1=CC=CC=C1OC2=CC=C([N+]([O-])=O)C=C2
74,CC(C=C1)=CC=C1OC2=CC=C([N+]([O-])=O)C=C2
75,ClC(C=C1)=CC=C1OC2=CC=C([N+]([O-])=O)C=C2
76,ClC1=CC=CC=C1OC2=CC=C([N+]([O-])=O)C=C2
77,O=[N+](C1=CC=C(OC2=CC=C(C=CC=C3)C3=C2)C=C1)[O-]
78,O=[N+](C1=CC=C(OC2=CN=CC=C2)C=C1)[O-]
79,CC1=C(OC2=CC=C(OC)C=C2)C=CC([N+]([O-])=O)=C1
80,O=[N+](C1=CC=C(OC2=CC=C(C#N)C=C2)C=C1)[O-]
81,O=[N+](C1=CC=C(OC2=CC=C([N+]([O-])=O)C=C2)C=C1)[O-]
82,N#CC1=CC=C(OC2=CC=C(OC)C=C2)C=C1
83,CC(C=C1)=CC=C1OC2=CC=C(C#N)C=C2
84,CC1=CC=CC=C1OC2=CC=C(C#N)C=C2
85,N#CC1=CC=C(OC2=CC=CC=C2)C=C1
86,ClC(C=C1)=CC=C1OC2=CC=C(C#N)C=C2
87,ClC1=CC=CC=C1OC2=CC=C(C#N)C=C2
88,O=C(C)C1=CC=C(OC2=CC=CC=C2)C=C1
89,O=C(C)C1=CC=C(OC2=CC=C(C)C=C2)C=C1
90,O=[N+](C1=CC=C(OC2=CC=CC=C2)C=C1)[O-]
91,O=[N+](C1=CC=C(OC2=CC=C(OC)C=C2)C=C1)[O-]
92,O=[N+](C(C=C1)=CC=C1OC2=CC=C(C=CC=C3)C3=C2)[O-]
93,C1(OC2=CC=CC=C2)=CC=CC=C1
94,CC1=CC=C(OC2=CC=CC=C2)C=C1
95,COC(C=C1)=CC=C1OC2=CC=CC=C2
96,ClC(C=C1)=CC=C1OC2=CC=CC=C2
97,CC1=C(OC2=CC=CC=C2)C=CC=C1
98,CC1=CC=CC=C1OC2=CC=CC=C2
99,FC(C1=CC(OC2=CC=CC=C2)=CC=C1)(F)F
100,CC1=CC(OC2=CC=C(OC)C=C2)=CC(C)=C1
101,CC1=CC(OC2=CC=CC=C2)=CC=C1
102,C1(OC2=CC=CC=C2)=CN=CC=C1
103,C1(OC2=CN=CC=C2)=CC=CC=C1
104,O=[N+]([O-])C1=CC=C(C=C1)OC2=CC=CC=C2
105,CC1=CC=C(OC2=CC=C([N+]([O-])=O)C=C2)C=C1
106,ClC1=CC=C(OC2=CC=C([N+]([O-])=O)C=C2)C=C1
107,COC1=CC=C(OC2=CC=C([N+]([O-])=O)C=C2)C=C1
108,CC1=CC(OC2=CC=C([N+]([O-])=O)C=C2)=CC=C1
109,O=[N+](C(C=C1)=CC=C1OC2=CN=CC=C2)[O-]
110,O=[N+](C(C=C1)=CC=C1OC2=CC=CC3=C2C=CC=C3)[O-]
111,O=[N+](C(C=C1)=CC=C1OC2=CC=C(C#N)C=C2)[O-]
112,CC(C=C([N+]([O-])=O)C=C1)=C1OC2=CC=CC=C2
113,O=C(C(C=C1)=CC=C1OC2=CC=CC=C2)C
114,CC1=CC=C(OC2=CC=C(C(C)=O)C=C2)C=C1
115,O=C(C(C=C1)=CC=C1OC2=CC=C(C=CC=C3)C3=C2)C
116,O=[N+](C(C=C1)=CC=C1OC2=CC=C(OC)C=C2)[O-]
117,N#CC(C=C1)=CC=C1OC2=CC=CC=C2
118,CC1=CC=C(OC2=CC=C(C#N)C=C2)C=C1
119,N#CC(C=C1)=CC=C1OC2=CC=C(OC)C=C2
120,N#CC(C=C1)=CC=C1OC2=CC=C(C=CC=C3)C3=C2
121,ClC1=CC=C(OC2=CC=C(C#N)C=C2)C=C1
122,CC1=C(OC2=CC=C(C#N)C=C2)C=CC=C1
123,CC1=CC=CC(OC2=CC=C(C#N)C=C2)=C1
124,ClC1=C(OC2=CC=C(C#N)C=C2)C=CC=C1
125,N#CC(C=C1)=CC=C1OC2=CN=CC=C2.OC3=CN=CC=C3
